User_ID,Region,Age_Group,Daily_Screen_Time,Subscription_Count,Monthly_Digital_Spend,Digital_Fatigue_Score,Sleep_Quality,Sentiment_Index,User_Review_Note,Lifestyle_Class
1,Europe,Millennial (25-40),6.51,5,991.984804163746,6,Good,-0.41,I've cancelled most services but still feel overwhelmed. Screen time is killing my sleep.,Balanced
2,Middle East,Millennial (25-40),6.32,5,75.83,7,Fair,-0.24,Screen time depends on work demands. Weekends are usually better.,Balanced
3,LATAM,Gen Z (18-24),9.12,2,10.57,7,Fair,-0.42,"Digital fatigue is real. Between work emails and personal apps, I can't disconnect. (Email Premium mainly)",Balanced
4,Asia-Pacific,Gen X (41-56),4.42,4,50.06,4,Good,0.39,Digital tools help me stay connected with family abroad. Can't imagine life without them.,Balanced
5,North America,Millennial (25-40),8.84,5,100.05,8,Fair,-0.46,Too many ads and expensive subscriptions. I feel drained every day.,Balanced
6,North America,Boomer (57+),2.77,3,45.19,3,Excellent,0.7,I've set healthy boundaries with screen time and feel much better now.,Balanced
7,North America,Gen Z (18-24),8.99,2,39.77,5,Excellent,-0.15,"Digital wellness is important, but finding the right balance is challenging.",Balanced
8,Africa,Gen X (41-56),4.43,3,9.06,4,Good,0.42,I've set healthy boundaries with screen time and feel much better now. (Email Premium mainly),Balanced
9,Asia-Pacific,Gen X (41-56),5.04,4,43.26,5,Good,0.15,"Trying to be more mindful, but it's difficult in today's world.",Balanced
10,Asia-Pacific,Gen X (41-56),5.33,3,29.16,6,Poor,0.21,"Digital wellness is important, but finding the right balance is challenging.",Balanced
11,North America,Boomer (57+),2.55,1,11.05,2,Good,0.83,Digital tools help me stay connected with family abroad. Can't imagine life without them. (Instagram mainly),Minimalist
12,Middle East,Gen X (41-56),3.4,5,56.14661752570832,4,Fair,0.27,"I have too many apps, but I don't know which ones to cut.",Balanced
13,LATAM,Boomer (57+),2.95,2,5.86,2,Excellent,0.95,Using apps for meditation and fitness really improved my overall wellness.,Balanced
14,Europe,Millennial (25-40),6.92,5,91.79,5,Good,0.16,Screen time depends on work demands. Weekends are usually better.,Balanced
15,North America,Millennial (25-40),6.33,6,97.18,5,Poor,0.13,"Trying to be more mindful, but it's difficult in today's world.",Balanced
16,North America,Gen Z (18-24),10.22,2,23.33,6,Poor,-0.29,Screen time depends on work demands. Weekends are usually better. (Netflix mainly),Balanced
17,Europe,Gen Z (18-24),8.39,3,46.98,5,Fair,0.09,"I have too many apps, but I don't know which ones to cut.",Balanced
18,Asia-Pacific,Millennial (25-40),6.88,6,63.77,6,Good,-0.25,"I use digital tools for work and entertainment, but I try to maintain balance. (Cloud Storage mainly)",Balanced
19,Asia-Pacific,Gen Z (18-24),11.15,4,48.56,7,Poor,-0.42,I've cancelled most services but still feel overwhelmed. Screen time is killing my sleep.,Balanced
20,Europe,Millennial (25-40),6.19,4,66.85,5,Good,0.22,"I have too many apps, but I don't know which ones to cut. (YouTube Premium mainly)",Balanced
21,Asia-Pacific,Gen Z (18-24),8.35,4,28.73,5,Good,0.08,"Digital wellness is important, but finding the right balance is challenging.",Balanced
22,North America,Gen Z (18-24),10.27,2,45.87,6,Poor,0.04,"I use digital tools for work and entertainment, but I try to maintain balance.",Balanced
23,Europe,Boomer (57+),2.51,1,13.73,2,Fair,1.0,I've set healthy boundaries with screen time and feel much better now. (Spotify mainly),Minimalist
24,Europe,Gen Z (18-24),9.18,3,51.91,5,Poor,-0.24,"Some subscriptions are useful, others are just taking up space and money. (Cloud Storage mainly)",Balanced
25,Asia-Pacific,Gen X (41-56),5.15,7,100.77,6,Good,-0.12,Screen time depends on work demands. Weekends are usually better.,Balanced
26,LATAM,Gen Z (18-24),15.41811941953242,2,30.86,6,Fair,0.1,Screen time depends on work demands. Weekends are usually better.,Balanced
27,North America,Boomer (57+),2.27,1,20.11,3,Good,0.42,Using apps for meditation and fitness really improved my overall wellness.,Minimalist
28,Asia-Pacific,Boomer (57+),4.18,1,0.0,3,Good,0.76,Using apps for meditation and fitness really improved my overall wellness. (Spotify mainly),Balanced
29,Asia-Pacific,Gen X (41-56),4.22,4,31.44,4,Fair,-0.1,"Digital wellness is important, but finding the right balance is challenging. (Email Premium mainly)",Balanced
30,North America,Gen X (41-56),5.53,5,101.62,6,Good,-0.13,"I have too many apps, but I don't know which ones to cut.",Balanced
31,Asia-Pacific,Gen Z (18-24),10.71,2,18.48,7,Poor,-0.34,Quality of sleep has dropped noticeably since my screen time increased.,Balanced
32,North America,Boomer (57+),2.27,1,16.32,2,Excellent,0.9,My sleep improved once I started digital detox after 9 PM. Game changer! (TikTok mainly),Minimalist
33,North America,Boomer (57+),2.06,3,42.55,3,Fair,0.33,"I have too many apps, but I don't know which ones to cut.",Balanced
34,Middle East,Boomer (57+),3.06,1,17.21,2,Good,0.37,Digital tools help me stay connected with family abroad. Can't imagine life without them.,Minimalist
